TIPO,TAMANHO_ENTRADA,MAIOR_VALOR,SEGUNDOS,NANO
RADIX_SORT,100,200,6.4E-4,640000
COUNTING_SORT,100,200,4.932E-4,493200
MERGE_SORT,100,200,5.048E-4,504800
RADIX_SORT,500,500,5.151E-4,515100
COUNTING_SORT,500,500,4.973E-4,497300
MERGE_SORT,500,500,6.975E-4,697500
RADIX_SORT,5000,2000,0.001715,1715000
COUNTING_SORT,5000,2000,6.826E-4,682600
MERGE_SORT,5000,2000,0.0017693,1769300
RADIX_SORT,25000,10000,0.0047728,4772800
COUNTING_SORT,25000,10000,0.0019083,1908300
MERGE_SORT,25000,10000,0.0069448,6944800
RADIX_SORT,250000,100000,0.0294544,29454400
COUNTING_SORT,250000,100000,0.0072919,7291900
MERGE_SORT,250000,100000,0.038984,38984000
RADIX_SORT,7777777,777777,0.5380124,538012400
COUNTING_SORT,7777777,777777,0.0813258,81325800
MERGE_SORT,7777777,777777,0.7586671,758667100
