TIPO,TAMANHO_ENTRADA,MAIOR_VALOR,SEGUNDOS,NANO
RADIX_SORT,100,200,4.726E-4,472600
COUNTING_SORT,100,200,4.913E-4,491300
MERGE_SORT,100,200,4.515E-4,451500
RADIX_SORT,500,500,5.226E-4,522600
COUNTING_SORT,500,500,4.602E-4,460200
MERGE_SORT,500,500,0.001001,1001000
RADIX_SORT,5000,2000,0.0016004,1600400
COUNTING_SORT,5000,2000,6.842E-4,684200
MERGE_SORT,5000,2000,0.0019449,1944900
RADIX_SORT,25000,10000,0.0053335,5333500
COUNTING_SORT,25000,10000,0.0020273,2027300
MERGE_SORT,25000,10000,0.0085491,8549100
RADIX_SORT,250000,100000,0.0300481,30048100
COUNTING_SORT,250000,100000,0.0091347,9134700
MERGE_SORT,250000,100000,0.0573157,57315700
RADIX_SORT,7777777,777777,0.5308465,530846500
COUNTING_SORT,7777777,777777,0.3815876,381587600
MERGE_SORT,7777777,777777,1.6220286,1622028600
